lsoa21_code,lsoa21_name,percent_hidden_deprivation,IMD_decile,no_popup
E01031338,Adur 002A,11.399999999999999,9,
E01031339,Adur 002B,10.600000000000001,10,
E01031340,Adur 002C,10.7,10,
E01031341,Adur 008A,NA,3,No popup
E01031342,Adur 008B,18.599999999999998,7,
E01031343,Adur 008C,16.6,7,
E01031344,Adur 006A,NA,4,No popup
E01031345,Adur 003A,18.4,8,
E01031346,Adur 006B,18.5,7,
E01031347,Adur 004A,NA,3,No popup
E01031348,Adur 004B,NA,3,No popup
E01031349,Adur 001A,15,9,
E01031350,Adur 001B,NA,4,No popup
E01031351,Adur 001C,14.3,8,
E01031352,Adur 001D,18.299999999999997,8,
E01031353,Adur 003B,8.5,10,
E01031354,Adur 003C,13.4,9,
E01031355,Adur 003D,19.5,6,
E01031356,Adur 005A,9.2,10,
E01031357,Adur 005B,13,9,
E01031358,Adur 007A,NA,3,No popup
E01031359,Adur 003E,17.7,7,
E01031360,Adur 007B,NA,4,No popup
E01031361,Adur 006C,NA,3,No popup
E01031362,Adur 006D,15.8,8,
E01031363,Adur 006E,21.099999999999998,6,
E01031364,Adur 005C,NA,5,No popup
E01031365,Adur 002D,17.1,7,
E01031366,Adur 004C,NA,4,No popup
E01031367,Adur 002E,7,10,
E01031368,Adur 005D,15.7,7,
E01031369,Adur 005E,14.1,9,
E01031370,Adur 001E,NA,5,No popup
E01031371,Adur 004D,NA,3,No popup
E01031372,Adur 004E,NA,5,No popup
E01031373,Adur 004F,18.5,6,
E01031374,Adur 001F,13.100000000000001,8,
E01031375,Adur 004G,14,7,
E01031376,Adur 007C,21.800000000000004,7,
E01031377,Adur 008D,NA,4,No popup
E01031378,Adur 007D,17.8,6,
E01031379,Adur 008E,17.7,8,
