"scenario","family","detail","rank_spearman","mean_absolute_rank_change","median_absolute_rank_change","p95_absolute_rank_change","maximum_absolute_rank_change","decile_agreement","within_one_decile","top10_retention","top20_retention","domain","omitted_indicator","official_indicator_weight"
"Omit Comparative illness and disability ratio","Indicator exclusion","Health weights rescaled after indicator omission",0.999665474308164,172.956480521397,123,504,3469,0.949281587912902,1,0.984888888888889,0.989631165753222,"Health","Comparative illness and disability ratio",0.294
"Omit Years of potential life lost","Indicator exclusion","Health weights rescaled after indicator omission",0.999532521897697,200.987409272704,136,592,4438,0.942823285439194,1,0.984,0.987409272700341,"Health","Years of potential life lost",0.24
"Omit Acute morbidity","Indicator exclusion","Health weights rescaled after indicator omission",0.999505466404918,205.261027995858,138,618,3347,0.939446007998815,1,0.981925925925926,0.985631758258036,"Health","Acute morbidity",0.222
"Omit Mental health","Indicator exclusion","Health weights rescaled after indicator omission",0.999298524509616,215.948689083096,141,605.299999999999,5929,0.936216856761961,0.999792623315064,0.982814814814815,0.984298622426307,"Health","Mental health",0.244
"Omit Violence with injury","Indicator exclusion","Crime weights rescaled after indicator omission",0.999943363173649,68.7706710117014,45,211,983,0.979973337283365,1,0.993777777777778,0.996741223522441,"Crime","Violence with injury",0.151
"Omit Violence without injury","Indicator exclusion","Crime weights rescaled after indicator omission",0.999951494510797,64.8027255221444,44,194,1295,0.979380832469264,1,0.994666666666667,0.995852466301289,"Crime","Violence without injury",0.154
"Omit Stalking and harassment","Indicator exclusion","Crime weights rescaled after indicator omission",0.999891019364083,93.02147829951,62,272,1839,0.973100281439787,1,0.993777777777778,0.994074951858984,"Crime","Stalking and harassment",0.132
"Omit Burglary","Indicator exclusion","Crime weights rescaled after indicator omission",0.999954766343216,65.4558435787303,46,191,708,0.980625092578877,1,0.994666666666667,0.996000592504814,"Crime","Burglary",0.074
"Omit Theft","Indicator exclusion","Crime weights rescaled after indicator omission",0.999930486399399,78.3304399348228,53,234,980,0.976359057917346,1,0.994074074074074,0.994815582876611,"Crime","Theft",0.097
"Omit Criminal damage","Indicator exclusion","Crime weights rescaled after indicator omission",0.999945823679477,71.168537994371,49,210,881,0.980032587764776,1,0.992888888888889,0.995556213894238,"Crime","Criminal damage",0.144
"Omit Public order and weapons","Indicator exclusion","Crime weights rescaled after indicator omission",0.999950439050075,68.2830395496967,47,204,737,0.979262331506443,1,0.994666666666667,0.995408087690713,"Crime","Public order and weapons",0.145
"Omit Anti-social behaviour","Indicator exclusion","Crime weights rescaled after indicator omission",0.999929255285184,80.5169604503045,55,243,1143,0.975648052140424,1,0.988740740740741,0.994667456673085,"Crime","Anti-social behaviour",0.103
