"lsoa21_code","analysis","official_rank","official_decile","rank_p05","rank_median","rank_p95","rank_p90_interval_width","same_decile_probability","probability_most_deprived_10pct","probability_most_deprived_20pct"
"E01000001","Weights +/-25%",26525,8,24485.8,26570,28583.3,4097.5,0.608,0,0
"E01000002","Weights +/-25%",31203,10,30222.9,31205.5,32020.55,1797.65,0.894,0,0
"E01000003","Weights +/-25%",25913,8,25020.9,25904,26842.3,1821.4,0.982,0,0
"E01000005","Weights +/-25%",14807,5,14376.85,14800,15232.15,855.299999999999,1,0,0
"E01000006","Weights +/-25%",10917,4,10279.65,10924.5,11556,1276.35,0.983,0,0
"E01000007","Weights +/-25%",5377,2,4966.9,5392,5851.05,884.15,1,0,1
"E01000008","Weights +/-25%",4400,2,3901,4416,4889.1,988.1,1,0,1
"E01000009","Weights +/-25%",4812,2,4467.85,4825,5133.1,665.249999999999,1,0,1
"E01000011","Weights +/-25%",5535,2,5061,5559.5,6075.1,1014.1,1,0,1
"E01000012","Weights +/-25%",5278,2,4735.8,5305.5,5886.1,1150.3,1,0,1
"E01000013","Weights +/-25%",7410,3,7134,7423,7680,546,1,0,0
"E01000014","Weights +/-25%",9243,3,9162.95,9253,9358,195.049999999999,1,0,0
"E01000015","Weights +/-25%",8120,3,7730,8135,8541.3,811.299999999999,1,0,0
"E01000016","Weights +/-25%",10202,4,9824.9,10202.5,10595.05,770.15,0.629,0,0
"E01000017","Weights +/-25%",7452,3,7208.85,7458.5,7729.15,520.3,1,0,0
"E01000018","Weights +/-25%",8300,3,8061.9,8297.5,8550.05,488.150000000001,1,0,0
"E01000019","Weights +/-25%",7965,3,7545.95,7976,8429.1,883.15,1,0,0
"E01000020","Weights +/-25%",8264,3,7895,8270.5,8658,763,1,0,0
"E01000021","Weights +/-25%",5192,2,4906,5190.5,5469.1,563.1,1,0,1
"E01000022","Weights +/-25%",8043,3,7588.85,8058,8550,961.15,1,0,0
"E01000024","Weights +/-25%",8426,3,8094.9,8445,8791.25,696.35,1,0,0
"E01000025","Weights +/-25%",8359,3,8082.8,8369,8638.05,555.250000000001,1,0,0
"E01000027","Weights +/-25%",6841,3,6626.95,6861,7072.15,445.2,0.781,0,0.219
"E01000028","Weights +/-25%",6021,2,5708.95,6021.5,6342.1,633.15,1,0,1
"E01000029","Weights +/-25%",15432,5,15055.85,15441,15828.1,772.249999999998,1,0,0
"E01000030","Weights +/-25%",6345,2,6099,6338,6571.05,472.05,1,0,1
"E01000031","Weights +/-25%",13927,5,13525.9,13938,14309.1,783.199999999999,0.961,0,0
"E01000032","Weights +/-25%",10040,3,9631.95,10071,10474,842.050000000001,0.574,0,0
"E01000033","Weights +/-25%",6743,2,6341,6748,7126.05,785.05,0.51,0,0.51
"E01000034","Weights +/-25%",8994,3,8700,8997.5,9342.25,642.25,1,0,0
"E01000035","Weights +/-25%",8514,3,8394,8528,8652,258,1,0,0
"E01000036","Weights +/-25%",10874,4,10695,10877,11047.05,352.049999999999,1,0,0
"E01000037","Weights +/-25%",16580,5,16089.95,16585,17153,1063.05,0.818,0,0
"E01000038","Weights +/-25%",16728,5,16377.9,16713,17112.15,734.250000000002,0.75,0,0
"E01000039","Weights +/-25%",17151,6,16696.95,17165,17678.25,981.299999999999,0.837,0,0
"E01000040","Weights +/-25%",5208,2,4909.9,5213,5514.05,604.15,1,0,1
"E01000041","Weights +/-25%",10397,4,9926.85,10395,10833.35,906.5,0.825,0,0
"E01000042","Weights +/-25%",4753,2,4386.85,4773,5145.05,758.199999999999,1,0,1
