"lsoa21_code","analysis","official_rank","official_decile","rank_p05","rank_median","rank_p95","rank_p90_interval_width","same_decile_probability","probability_most_deprived_10pct","probability_most_deprived_20pct"
"E01002837","Weights +/-25%; exponential constant 15-35",24678,8,20335.55,25343.5,28671.75,8336.2,0.465,0,0
"E01027763","Weights +/-25%; exponential constant 15-35",15705,5,12149.9,16394,20098.05,7948.14999999999,0.409,0,0
"E01027773","Weights +/-25%; exponential constant 15-35",14346,5,10679.2,15001.5,18528.5,7849.3,0.459,0,0
"E01020259","Weights +/-25%; exponential constant 15-35",13528,5,9783.9,14178.5,17535,7751.1,0.467,0,0
"E01027557","Weights +/-25%; exponential constant 15-35",16755,5,13270.35,17366,20973,7702.65,0.373,0,0
"E01035713","Weights +/-25%; exponential constant 15-35",23218,7,19390.05,23881,26992.55,7602.5,0.368,0,0
"E01002911","Weights +/-25%; exponential constant 15-35",21590,7,17844.9,22198,25323.5,7478.6,0.517,0,0
"E01029125","Weights +/-25%; exponential constant 15-35",14864,5,11447.3,15414,18716.3,7269,0.489,0,0
"E01019090","Weights +/-25%; exponential constant 15-35",15609,5,12486.6,16248.5,19721,7234.4,0.459,0,0
"E01014020","Weights +/-25%; exponential constant 15-35",12764,4,9241.55,13333.5,16464.35,7222.8,0.407,0,0
"E01027777","Weights +/-25%; exponential constant 15-35",15049,5,11909.85,15672.5,19080.55,7170.7,0.492,0,0
"E01031582","Weights +/-25%; exponential constant 15-35",20988,7,17211.75,21440.5,24372.7,7160.95,0.559,0,0
"E01020274","Weights +/-25%; exponential constant 15-35",14867,5,11503.75,15413,18633.75,7130,0.506,0,0
"E01027742","Weights +/-25%; exponential constant 15-35",13814,5,10569.85,14454,17649.55,7079.7,0.505,0,0
"E01004662","Weights +/-25%; exponential constant 15-35",18684,6,15007.4,19277.5,21964.65,6957.25,0.496,0,0
"E01019901","Weights +/-25%; exponential constant 15-35",16486,5,13329.1,17063.5,20285.65,6956.55,0.41,0,0
"E01029003","Weights +/-25%; exponential constant 15-35",13204,4,9972.55,13792,16861.45,6888.9,0.391,0,0
"E01018481","Weights +/-25%; exponential constant 15-35",14793,5,11613.8,15295,18484.15,6870.35,0.524,0,0
"E01028993","Weights +/-25%; exponential constant 15-35",12110,4,8734.9,12613,15589.25,6854.35,0.47,0,0
"E01028960","Weights +/-25%; exponential constant 15-35",14611,5,11374.8,15144.5,18200.1,6825.3,0.53,0,0
"E01019323","Weights +/-25%; exponential constant 15-35",14452,5,11237.95,15002.5,18005.35,6767.4,0.532,0,0
"E01025320","Weights +/-25%; exponential constant 15-35",15398,5,12496.75,16004,19225.4,6728.65,0.509,0,0
"E01014052","Weights +/-25%; exponential constant 15-35",13628,5,10577.5,14252,17288.05,6710.55,0.523,0,0
"E01002901","Weights +/-25%; exponential constant 15-35",22030,7,18759.15,22628.5,25440.85,6681.7,0.522,0,0
"E01019324","Weights +/-25%; exponential constant 15-35",17672,6,14562.05,18203.5,21232.85,6670.8,0.545,0,0
"E01020049","Weights +/-25%; exponential constant 15-35",14023,5,10923.75,14605,17594,6670.25,0.539,0,0
"E01027613","Weights +/-25%; exponential constant 15-35",16158,5,13374.9,16742,19980.25,6605.35,0.46,0,0
"E01027447","Weights +/-25%; exponential constant 15-35",15757,5,12983.85,16330,19554.2,6570.35,0.501,0,0
"E01028842","Weights +/-25%; exponential constant 15-35",14577,5,11606.8,15143.5,18163.9,6557.1,0.539,0,0
"E01027477","Weights +/-25%; exponential constant 15-35",14632,5,11760,15171.5,18283.1,6523.1,0.552,0,0
