"scenario","family","detail","rank_spearman","mean_absolute_rank_change","median_absolute_rank_change","p95_absolute_rank_change","maximum_absolute_rank_change","decile_agreement","within_one_decile","top10_retention","top20_retention"
"Official reconstruction","Validation","Published transformed scores and official weights",0.999999999404375,0.101555325137019,0,1,3,0.99988149903718,1,1,1
"Equal domain weights","Weights","Each domain weighted 1/7",0.98877697069657,1064.59368982376,771,3064.6,6342,0.69888905347356,0.990579173455784,0.923851851851852,0.938675751740483
"Employment/health weights swapped","Weights","Employment 13.5%; Health 22.5%",0.998655919101951,354.81570137757,255,993,4716,0.897407791438305,0.999911124277885,0.970962962962963,0.976299807435935
"Linear percentile transformation","Transformation","No exponential tail emphasis",0.988242779425646,991.414486742657,754,2754.3,12200,0.738260998370612,0.980832469263813,0.884148148148148,0.950525848022515
"Exponential constant = 10","Transformation","Official constant is 23; lower values emphasise the deprived tail",0.999540687573914,122.491304991855,76,301,5941,0.964716338320249,0.999733372833654,0.985777777777778,0.992297437416679
"Exponential constant = 15","Transformation","Official constant is 23; lower values emphasise the deprived tail",0.999708497367598,104.091364242332,65,266,4112,0.969752629240113,0.999970374759295,0.987851851851852,0.993778699451933
"Exponential constant = 35","Transformation","Official constant is 23; lower values emphasise the deprived tail",0.999275514163809,206.231610131824,139,603,3977,0.941134646719005,0.999970374759295,0.980740740740741,0.991408680195527
"Exponential constant = 50","Transformation","Official constant is 23; lower values emphasise the deprived tail",0.99758319320381,399.668493556496,279,1176.3,6636,0.883632054510443,0.998163235076285,0.964740740740741,0.981484224559324
"Exclude Income","Domain exclusion","Remaining weights rescaled to sum to one",0.993754442331251,798.017775144418,584,2307,6988,0.766167975114798,0.998785365131092,0.923259259259259,0.949785217004888
"Exclude Employment","Domain exclusion","Remaining weights rescaled to sum to one",0.994058352395162,785.697230039967,581,2242,8355,0.771293141756777,0.999348244704488,0.930962962962963,0.950673974226041
"Exclude Education","Domain exclusion","Remaining weights rescaled to sum to one",0.995775775986122,674.889112724065,525,1780,10082,0.799496370908014,0.999496370908014,0.932740740740741,0.950822100429566
"Exclude Health","Domain exclusion","Remaining weights rescaled to sum to one",0.99535440940464,691.330410309576,524,1821.3,10217,0.801481262035254,0.99813360983558,0.940444444444444,0.952895867278922
"Exclude Crime","Domain exclusion","Remaining weights rescaled to sum to one",0.997025182538465,523.016679010528,379,1401,7832,0.847370759887424,0.998755739890387,0.955555555555556,0.965486594578581
"Exclude Barriers","Domain exclusion","Remaining weights rescaled to sum to one",0.987096824389199,1118.40959857804,827,3228.3,9263,0.69171974522293,0.982461857502592,0.952296296296296,0.954080876907125
"Exclude Living environment","Domain exclusion","Remaining weights rescaled to sum to one",0.988812266025702,1033.63353577245,759,2922.3,9386,0.7137016738261,0.986431639757073,0.94637037037037,0.954673381721227
