"scenario","family","detail","rank_spearman","mean_absolute_rank_change","median_absolute_rank_change","p95_absolute_rank_change","maximum_absolute_rank_change","decile_agreement","within_one_decile","top10_retention","top20_retention","domain","relative_change"
"Income -25%","One-at-a-time weight","All weights rescaled after perturbing Income",0.999748438690996,160.05119241594,116,468,1190,0.952540364390461,1,0.983703703703704,0.991260553992001,"Income",-0.25
"Income +25%","One-at-a-time weight","All weights rescaled after perturbing Income",0.999803707853708,141.064316397574,102,414,1098,0.960124426010961,1,0.98962962962963,0.992741816027255,"Income",0.25
"Employment -25%","One-at-a-time weight","All weights rescaled after perturbing Employment",0.999755323973697,158.536098355797,116,457,1528,0.954554880758406,1,0.988740740740741,0.992001185009628,"Employment",-0.25
"Employment +25%","One-at-a-time weight","All weights rescaled after perturbing Employment",0.999806728339911,140.424233446901,102,406,1220,0.959117167826989,1,0.98962962962963,0.991556806399052,"Employment",0.25
"Education -25%","One-at-a-time weight","All weights rescaled after perturbing Education",0.999793994919375,149.551888609091,117,398,1911,0.955147385572508,1,0.985777777777778,0.989483039549696,"Education",-0.25
"Education +25%","One-at-a-time weight","All weights rescaled after perturbing Education",0.999822635013672,138.956125018518,108,370,1549,0.95947267071545,1,0.986666666666667,0.991556806399052,"Education",0.25
"Health -25%","One-at-a-time weight","All weights rescaled after perturbing Health",0.999773296510767,153.602844023108,116,410,2131,0.955384387498148,1,0.987259259259259,0.989334913346171,"Health",-0.25
"Health +25%","One-at-a-time weight","All weights rescaled after perturbing Health",0.999804738209574,142.949370463633,108,384,1682,0.957991408680195,1,0.986666666666667,0.991408680195527,"Health",0.25
"Crime -25%","One-at-a-time weight","All weights rescaled after perturbing Crime",0.999845174512231,120.556599022375,87,326,1797,0.964864464523774,1,0.991703703703704,0.99259368982373,"Crime",-0.25
"Crime +25%","One-at-a-time weight","All weights rescaled after perturbing Crime",0.999862053553453,114.485202192265,83,312,1537,0.966464227521849,1,0.989333333333333,0.993778699451933,"Crime",0.25
"Barriers -25%","One-at-a-time weight","All weights rescaled after perturbing Barriers",0.999306291373004,263.15947267071,196,752,2012,0.922559620796919,1,0.989037037037037,0.988594282328544,"Barriers",-0.25
"Barriers +25%","One-at-a-time weight","All weights rescaled after perturbing Barriers",0.999376091284156,252.045682121158,191,714,1872,0.927240408828322,1,0.987851851851852,0.987853651310917,"Barriers",0.25
"Living environment -25%","One-at-a-time weight","All weights rescaled after perturbing Living environment",0.99939458870279,242.148837209296,177,676,2409,0.929136424233447,1,0.986666666666667,0.989483039549696,"Living environment",-0.25
"Living environment +25%","One-at-a-time weight","All weights rescaled after perturbing Living environment",0.9994570140009,231.031787883278,170,638,2140,0.929847430010369,1,0.984592592592593,0.989631165753222,"Living environment",0.25
