cons_code,cons_name,Conservative,Green,Independent,Labour,LibDem,Reform,SNP,turnout,winner,Lab_pc,Con_pc,LD_pc,Green_pc,Ref_pc,Ind_pc
W07000081,Aberafan Maesteg,10052,701,731,23509,1645,3794,0,44423,Lab,0.5292078427841433,0.2262791797042073,0.03703036715215091,0.015780113904959144,0.08540620849559913,0.01645543974967922
S14000060,Aberdeen North,12306,612,0,6005,3875,813,26516,50127,SNP,0.11979571887405989,0.24549643904482615,0.07730364873222016,0.012208989167514513,0.016218804237237417,0
S14000061,Aberdeen South,17220,268,0,4394,5358,195,22683,50118,SNP,0.08767309150405043,0.3435891296540165,0.10690769783311384,0.005347380182768666,0.003890817670298096,0
S14000062,Aberdeenshire North and Moray East,22174,0,0,1914,2028,0,19775,45891,Con,0.04170752435117997,0.4831884247455928,0.0441916715695888,0,0,0
S14000058,West Aberdeenshire and Kincardine,22752,0,0,2431,6253,0,21909,53345,Con,0.04557128128221952,0.4265067016590121,0.11721810853875717,0,0,0
S14000063,Airdrie and Shotts,8000,676,0,15343,1652,0,20667,46338,SNP,0.33111053562950493,0.17264448185074882,0.03565108550217964,0.014588458716388275,0,0
E14001063,Aldershot,29453,1839,0,11468,9068,0,0,51828,Con,0.22127035579223583,0.568283553291657,0.17496334027938565,0.03548275063672147,0,0
E14001064,Aldridge-Brownhills,32941,873,0,10183,2654,334,0,47321,Con,0.21518987341772153,0.6961180025781366,0.05608503624183766,0.01844846896726612,0.007058177130660806,0
S14000064,Alloa and Grangemouth,11323,678,0,6622,2426,177,24050,45658,SNP,0.14503482412720664,0.24799597003810941,0.053134171448596085,0.014849533488107232,0.0038766481230014453,0
E14001065,Altrincham and Sale West,26311,1566,224,20172,6036,0,0,54763,Con,0.36835089385168823,0.480452130087833,0.11022040428756644,0.02859594982013403,0,0.004090352975549185
W07000082,Alyn and Deeside,21963,0,0,22374,3095,3137,0,52350,Lab,0.42739255014326644,0.4195415472779369,0.059121298949379175,0,0.05992359121298949,0
E14001066,Amber Valley,29118,1389,0,12227,2875,0,0,45609,Con,0.26808305378324454,0.6384266263237518,0.06303580433686334,0.030454515556140236,0,0
S14000065,Angus and Perthshire Glens,22504,0,0,2402,2803,329,28509,56547,SNP,0.042477938705855305,0.3979698304065644,0.049569384759580525,0,0.0058181689567970004,0
N05000005,East Antrim,1007,685,0,NA,NA,NA,NA,40156,DUP,NA,0.02507719892419564,NA,0.0170584719593585,NA,0
N05000012,North Antrim,17,NA,246,NA,NA,NA,NA,40622,DUP,NA,4.1849244251883214e-4,NA,0,NA,0.006055831815272512
N05000014,South Antrim,18,NA,0,NA,NA,NA,NA,42668,DUP,NA,4.2186181681822443e-4,NA,0,NA,0
