cons_code,cons_name,spoilt_ballots,total_electorate,Conservative,Green,Independent,Labour,LibDem,Reform,Other,Speaker,SNP,turnout,winner,Lab_pc,Con_pc,LD_pc,Green_pc,Ref_pc,Ind_pc,Other_pc
E14001063,Aldershot,179,78553,14081,2155,282,19764,4052,8210,NA,NA,NA,48544,Labour,0.4071357943309163,0.2900667435728411,0.08347066578773896,0.04439271588661833,0.16912491760052736,0.005809162821357943,NA
E14001064,Aldridge-Brownhills,156,70268,15901,1746,NA,11607,1755,9903,NA,NA,NA,40912,Conservative,0.28370649198279235,0.3886634728197106,0.04289694955025421,0.042676965193586235,0.24205612045365663,NA,NA
E14001065,Altrincham and Sale West,184,74025,16624,3699,NA,20798,4727,4961,643,NA,NA,51452,Labour,0.4042214102464433,0.323097255694628,0.09187203607245588,0.07189224908652725,0.09641996423851357,NA,0.012497084661432014
E14001066,Amber Valley,105,NA,10725,2278,NA,15746,1590,12192,NA,NA,NA,42531,Labour,0.37022407185347156,0.2521690061367003,0.03738449601467165,0.05356093202605158,0.2866614939691049,NA,NA
E14001067,Arundel and South Downs,NA,NA,22001,5515,NA,9782,9867,7391,184,NA,NA,54740,Conservative,0.17869930580928023,0.40191815856777496,0.18025210084033613,0.10074899525027402,0.13502009499451956,NA,0.0033613445378151263
E14001068,Ashfield,102,68095,3271,1100,6276,11554,619,17062,NA,NA,NA,39882,Reform,0.2897046286545309,0.0820169500025074,0.015520786319642947,0.027581365026829147,0.4278120455343263,0.1573642244621634,NA
E14001069,Ashford,164,76233,13483,4355,NA,15262,2445,10141,1289,NA,NA,46975,Labour,0.3248962213943587,0.28702501330494945,0.05204896221394359,0.09270888770622672,0.21588078765300692,NA,0.027440127727514637
E14001070,Ashton-under-Lyne,NA,NA,4375,2481,NA,15575,1411,8784,2835,NA,NA,35461,Labour,0.4392149121570176,0.12337497532500494,0.03979019204196159,0.0699641860071628,0.24770875045824992,NA,0.0799469840106032
E14001071,Aylesbury,213,79169,14451,2590,NA,15081,10440,6746,632,NA,NA,49940,Labour,0.30198237885462553,0.2893672406888266,0.2090508610332399,0.05186223468161794,0.13508209851822187,NA,0.012655186223468161
E14001072,Banbury,NA,NA,15212,2615,850,18468,4352,6284,397,NA,NA,48178,Labour,0.38332849018224086,0.31574577608036863,0.0903316866619619,0.05427788617211175,0.1304329777076674,0.017642907551164433,0.008240275644485035
E14001073,Barking,120,79822,4294,4988,753,16227,1015,5173,4027,NA,NA,36477,Labour,0.4448556624722428,0.11771801409107109,0.02782575321435425,0.13674370151054088,0.14181539052005374,0.020643144995476603,0.11039833319626066
E14001074,Barnsley North,NA,78267,3083,1805,616,18610,1336,10799,645,NA,NA,36894,Labour,0.5044180625575975,0.08356372309860682,0.03621185016533854,0.04892394427278148,0.29270342061039734,0.016696481812760882,0.017482517482517484
E14001075,Barnsley South,NA,75850,3247,1521,NA,16399,1172,11651,1092,NA,NA,35082,Labour,0.4674476939741178,0.09255458639758281,0.03340744541360242,0.043355566957414056,0.3321076335442677,NA,0.03112707371301522
E14001076,Barrow and Furness,NA,74980,13213,1466,NA,18537,1680,7035,290,NA,NA,42221,Labour,0.43904691977925675,0.312948532720684,0.0397906255181071,0.03472205774377679,0.16662324435707349,NA,0.006868619881101821
E14001077,Basildon and Billericay,NA,NA,12905,2123,NA,12885,2292,11354,565,NA,NA,42124,Conservative,0.30588263222865825,0.30635742094767826,0.05441078719969614,0.05039882252397683,0.26953755578767447,NA,0.013412781312316019
E14001078,Basingstoke,NA,NA,14438,3568,571,20922,3176,6314,NA,NA,NA,48989,Labour,0.42707546592092105,0.29471922268264306,0.06483088040172283,0.07283267672334606,0.12888607646614547,0.01165567780522158,NA
E14001079,Bassetlaw,NA,NA,12708,1947,NA,18476,1996,9751,NA,NA,NA,44878,Labour,0.4116939257542671,0.2831676990953251,0.04447613530014707,0.043384286287267704,0.217277953562993,NA,NA
E14001080,Bath,192,69662,7659,5952,1943,8665,19883,3798,230,NA,NA,48130,LibDem,0.18003324329939746,0.15913151880324122,0.4131103261998753,0.12366507375857054,0.07891128194473301,0.0403698317057968,0.0047787242883856225
E14001081,Battersea,NA,72767,10944,4239,216,22983,4826,2825,1049,NA,NA,47082,Labour,0.4881483369440551,0.2324455205811138,0.10250201775625505,0.09003440805403339,0.06000169916316214,0.004587740537785141,0.02228027696359543
E14001082,Beaconsfield,162,72751,18494,1977,814,7216,13039,6055,131,NA,NA,47726,Conservative,0.1511964128567238,0.38750366676444703,0.2732053807149143,0.04142396178183799,0.1268700498679965,0.017055692913715795,0.002744835100364581
E14001083,Beckenham and Penge,NA,NA,12848,3830,NA,25753,4436,5355,NA,NA,NA,52222,Labour,0.49314465167936883,0.2460265788365057,0.08494504231932902,0.07334073762016008,0.10254298954463636,NA,NA
E14001084,Bedford,210,72478,8912,2394,1442,18342,4025,4548,996,NA,NA,40659,Labour,0.45111783368995795,0.21918886347426153,0.09899407265304115,0.05887995277798273,0.1118571533977717,0.03546570255048083,0.024496421456504096
E14001085,Bermondsey and Old Southwark,NA,NA,2879,4477,923,16857,9070,3397,NA,NA,NA,37603,Labour,0.44828870036965135,0.07656304018296413,0.24120415924261362,0.11905964949605084,0.09033853681887083,0.024545913889849214,NA
E14001086,Bethnal Green and Stepney,NA,NA,1920,6391,15118,15896,4777,1964,581,NA,NA,46647,Labour,0.3407721825626514,0.04116020322850344,0.10240744313675049,0.1370077389757112,0.042103457885823314,0.32409372521276825,0.012455248997791926
E14001087,Beverley and Holderness,NA,NA,15501,1647,NA,15377,3386,8198,788,NA,NA,44897,Conservative,0.3424950442123082,0.34525692139786623,0.07541706572822238,0.036683965521081587,0.18259571909036237,NA,0.017551284050159252
