"sex","outcome","model_type","engine","n","rmse","mae","r_squared","calibration_intercept","calibration_slope","interval_coverage"
"Female","best_single_grip","core","gam",5286,4.55455780567667,3.52937856747531,0.438277312668862,0.096114183841394,0.996701875060255,0.951661940352796
"Female","best_single_grip","core","survey",5286,4.60793094973412,3.57731126366256,0.425034941111062,2.00445462991498,0.936300606044921,0.951479706982018
"Female","best_single_grip","extended","survey",4742,4.50166170613352,3.5036982924869,0.435025735598972,2.39137548714849,0.922380918350571,0.951349682873517
"Female","best_single_grip","standing_no_pain","survey",3360,4.43826832462365,3.46994361142903,0.391131740205195,3.35986423092527,0.895504396411558,0.952435882373847
"Female","bilateral_grip","core","gam",5172,8.71366704838231,6.76807265635585,0.435601406042932,0.171759437852234,0.996947439448108,0.952013769802237
"Female","bilateral_grip","core","survey",5172,8.82805473660682,6.86451462413435,0.420685985527735,4.01813721213131,0.933563046154096,0.95265365740068
"Female","bilateral_grip","extended","survey",4705,8.6521876552706,6.73955687611947,0.429016558610642,4.76747273985536,0.919945159518845,0.951658114704717
"Female","bilateral_grip","standing_no_pain","survey",3355,8.55824478467515,6.68584442761107,0.385345929235144,6.64465000836554,0.892148994659057,0.951993269826879
"Male","best_single_grip","core","gam",5177,7.20487964156722,5.62652106358012,0.400143889881542,0.413471160608308,0.990790724867968,0.951692668931987
"Male","best_single_grip","core","survey",5177,7.27075711525403,5.67535746800128,0.389124228759714,3.84620714855843,0.917013050680982,0.952360639334793
"Male","best_single_grip","extended","survey",4670,6.96200822998381,5.43684572001395,0.436041778903199,4.00774707476317,0.914237736427772,0.951990072387825
"Male","best_single_grip","standing_no_pain","survey",3752,7.35745140060579,5.72886603242666,0.356045096796542,4.32426475381472,0.908551628543528,0.95319323446748
"Male","bilateral_grip","core","gam",5075,14.0887197872001,10.9745216684629,0.393115657487941,0.817320671268245,0.990492242155815,0.95166939082837
"Male","bilateral_grip","core","survey",5075,14.2075777868972,11.0662245989085,0.382832632263834,7.19358579285387,0.919373563853687,0.952461093437877
"Male","bilateral_grip","extended","survey",4644,13.561775422815,10.6099029431575,0.433304887824903,7.78931909468433,0.913524672521059,0.952335344782532
"Male","bilateral_grip","standing_no_pain","survey",3751,14.2337507190068,11.0293474858914,0.358989416697098,7.90852881724702,0.912763965208582,0.952573447233961
