index_id,source_country,iso3,mapping
underfunded_crisis,El Salvador,SLV,master country name
underfunded_crisis,Honduras,HND,master country name
underfunded_crisis,Venezuela,VEN,explicit alias: short country name
underfunded_crisis,Haiti,HTI,master country name
underfunded_crisis,Mali,MLI,master country name
underfunded_crisis,Colombia,COL,master country name
underfunded_crisis,Guatemala,GTM,master country name
underfunded_crisis,DR Congo,COD,explicit alias: publisher short name
underfunded_crisis,Burkina Faso,BFA,master country name
underfunded_crisis,Cameroon,CMR,master country name
underfunded_crisis,Myanmar,MMR,master country name
underfunded_crisis,Chad,TCD,master country name
underfunded_crisis,Syria,SYR,explicit alias: short country name
underfunded_crisis,Malawi,MWI,master country name
underfunded_crisis,Mozambique,MOZ,master country name
underfunded_crisis,Yemen,YEM,master country name
underfunded_crisis,Sudan,SDN,master country name
underfunded_crisis,Niger,NER,master country name
underfunded_crisis,Nigeria,NGA,master country name
underfunded_crisis,Afghanistan,AFG,master country name
underfunded_crisis,Rohingya JRP,BGD,explicit alias: Bangladesh country response
underfunded_crisis,South Sudan,SSD,master country name
underfunded_crisis,Somalia,SOM,master country name
underfunded_crisis,Central African Republic,CAF,master country name
underfunded_crisis,Ukraine,UKR,master country name
underfunded_crisis,Lebanon,LBN,master country name
underfunded_crisis,Palestine,PSE,explicit alias: publisher short name
mpi,Afghanistan,AFG,master country name
mpi,Algeria,DZA,master country name
mpi,Argentina,ARG,master country name
mpi,Azerbaijan,AZE,master country name
mpi,Bangladesh,BGD,master country name
mpi,Benin,BEN,master country name
mpi,Bhutan,BTN,master country name
mpi,Bolivia (Plurinational State of),BOL,explicit alias: UN long name
mpi,Burkina Faso,BFA,master country name
mpi,Cambodia,KHM,master country name
mpi,Central African Republic,CAF,master country name
mpi,Chad,TCD,master country name
mpi,Comoros,COM,master country name
mpi,Côte d'Ivoire,CIV,explicit alias: publisher capitalization
mpi,Cuba,CUB,master country name
mpi,Dominican Republic,DOM,master country name
mpi,Eswatini (Kingdom of),SWZ,explicit alias: UNDP long name
mpi,Ethiopia,ETH,master country name
mpi,Fiji,FJI,master country name
mpi,Gabon,GAB,master country name
mpi,Gambia,GMB,master country name
mpi,Ghana,GHA,master country name
mpi,Guinea-Bissau,GNB,master country name
mpi,Guyana,GUY,master country name
mpi,Honduras,HND,master country name
mpi,India,IND,master country name
mpi,Jordan,JOR,master country name
mpi,Kenya,KEN,master country name
mpi,Kiribati,KIR,master country name
mpi,Kyrgyzstan,KGZ,master country name
mpi,Lao People's Democratic Republic,LAO,master country name
mpi,Lesotho,LSO,master country name
mpi,Liberia,LBR,master country name
mpi,Madagascar,MDG,master country name
mpi,Malawi,MWI,master country name
mpi,Mauritania,MRT,master country name
mpi,Mexico,MEX,master country name
mpi,Mozambique,MOZ,master country name
mpi,Nauru,NRU,master country name
mpi,Nepal,NPL,master country name
mpi,Niger,NER,master country name
mpi,Nigeria,NGA,master country name
mpi,North Macedonia,MKD,master country name
mpi,"Palestine, State of",PSE,explicit alias: UNDP country name
mpi,Peru,PER,master country name
mpi,Philippines,PHL,master country name
mpi,Rwanda,RWA,master country name
mpi,Samoa,WSM,master country name
mpi,Sao Tome and Principe,STP,master country name
mpi,Senegal,SEN,master country name
mpi,Serbia,SRB,master country name
mpi,Seychelles,SYC,master country name
mpi,Sierra Leone,SLE,master country name
mpi,Tanzania (United Republic of),TZA,explicit alias: publisher long name
mpi,Thailand,THA,master country name
mpi,Tonga,TON,master country name
mpi,Trinidad and Tobago,TTO,master country name
mpi,Tunisia,TUN,master country name
mpi,Turkmenistan,TKM,master country name
mpi,Tuvalu,TUV,master country name
mpi,Uzbekistan,UZB,master country name
mpi,Vanuatu,VUT,master country name
mpi,Viet Nam,VNM,master country name
mpi,Yemen,YEM,master country name
mpi,Zimbabwe,ZWE,master country name
mpi,Albania,ALB,master country name
mpi,Angola,AGO,master country name
mpi,Armenia,ARM,master country name
mpi,Belize,BLZ,master country name
mpi,Botswana,BWA,master country name
mpi,Brazil,BRA,master country name
mpi,Burundi,BDI,master country name
mpi,Cameroon,CMR,master country name
mpi,China,CHN,master country name
mpi,Colombia,COL,master country name
mpi,Congo,COG,explicit alias: MPI short name for Republic of the Congo
mpi,Congo (Democratic Republic of the),COD,explicit alias: MPI long name
mpi,Costa Rica,CRI,master country name
mpi,Ecuador,ECU,master country name
mpi,Egypt,EGY,master country name
mpi,El Salvador,SLV,master country name
mpi,Georgia,GEO,master country name
mpi,Guatemala,GTM,master country name
mpi,Guinea,GIN,master country name
mpi,Haiti,HTI,master country name
mpi,Indonesia,IDN,master country name
mpi,Iraq,IRQ,master country name
mpi,Jamaica,JAM,master country name
mpi,Kazakhstan,KAZ,master country name
mpi,Libya,LBY,explicit alias: current short name
mpi,Maldives,MDV,master country name
mpi,Mali,MLI,master country name
mpi,Mongolia,MNG,master country name
mpi,Montenegro,MNE,master country name
mpi,Morocco,MAR,master country name
mpi,Myanmar,MMR,master country name
mpi,Namibia,NAM,master country name
mpi,Pakistan,PAK,master country name
mpi,Papua New Guinea,PNG,master country name
mpi,Paraguay,PRY,master country name
mpi,South Africa,ZAF,master country name
mpi,Sri Lanka,LKA,master country name
mpi,Sudan,SDN,master country name
mpi,Suriname,SUR,master country name
mpi,Tajikistan,TJK,master country name
mpi,Timor-Leste,TLS,master country name
mpi,Togo,TGO,master country name
mpi,Uganda,UGA,master country name
mpi,Zambia,ZMB,master country name
ghi,Armenia,ARM,master country name
ghi,Belarus,BLR,master country name
ghi,Bosnia & Herzegovina,BIH,master country name
ghi,Bulgaria,BGR,master country name
ghi,Chile,CHL,master country name
ghi,China,CHN,master country name
ghi,Costa Rica,CRI,master country name
ghi,Croatia,HRV,master country name
ghi,Estonia,EST,master country name
ghi,Georgia,GEO,master country name
ghi,Hungary,HUN,master country name
ghi,Kazakhstan,KAZ,master country name
ghi,Kuwait,KWT,master country name
ghi,Latvia,LVA,master country name
ghi,Lithuania,LTU,master country name
ghi,Montenegro,MNE,master country name
ghi,North Macedonia,MKD,master country name
ghi,Romania,ROU,master country name
ghi,Russian Federation,RUS,master country name
ghi,Serbia,SRB,master country name
ghi,Slovakia,SVK,master country name
ghi,Türkiye,TUR,explicit alias: current short name
ghi,United Arab Emirates,ARE,master country name
ghi,Uruguay,URY,master country name
ghi,Uzbekistan,UZB,master country name
ghi,Moldova (Rep. of),MDA,explicit alias: GHI abbreviation
ghi,Mongolia,MNG,master country name
ghi,Paraguay,PRY,master country name
ghi,Azerbaijan,AZE,master country name
ghi,Saudi Arabia,SAU,master country name
ghi,Mexico,MEX,master country name
ghi,Colombia,COL,master country name
ghi,Tunisia,TUN,master country name
ghi,Argentina,ARG,master country name
