index_id,index_name,n_master_countries,n_numeric_scores,n_labelled_records,n_ranked,n_top_10,n_top_20,expected_min,expected_max,coverage_ok
debt_distress,Debt-distress classification,195,67,68,0,0,0,67,67,TRUE
disaster_displacement,Disaster Displacement Risk Model,195,0,0,0,0,0,0,195,TRUE
ghi,Global Hunger Index,195,98,130,98,10,21,90,105,TRUE
ghs,Global Health Security Index,195,193,0,193,20,40,193,193,TRUE
hdi,Human Development Index,195,192,0,192,20,39,185,195,TRUE
inform_risk,INFORM Risk,195,191,0,191,20,39,191,191,TRUE
inform_severity,INFORM Severity,195,65,0,65,7,15,60,75,TRUE
internal_displacement,Internal Displacement Index,195,44,0,44,5,9,44,44,TRUE
mpi,Multidimensional Poverty Index,195,109,0,109,11,22,100,115,TRUE
nd_gain,ND-GAIN Country Index,195,190,0,190,19,38,175,190,TRUE
oecd_fragility,OECD Multidimensional Fragility,195,61,0,61,7,13,61,61,TRUE
searo,Sexual Exploitation and Abuse Risk Overview,195,38,0,38,4,8,35,50,TRUE
un_mvi,UN Multidimensional Vulnerability Index,195,142,0,142,15,29,140,145,TRUE
underfunded_crisis,Underfunded Crisis Index,195,27,27,27,3,6,25,30,TRUE
worldrisk,WorldRiskIndex,195,193,0,193,20,39,193,193,TRUE
wps,"Women, Peace and Security Index",195,177,0,177,18,36,177,177,TRUE
