source_id,source_name,edition,reference_year,source_url,download_url,local_file,retrieval_date,sha256,file_bytes,source_status,n_numeric_scores,n_labelled_records,n_ranked,coverage_ok,license_notes,source_notes
inform_risk,INFORM Risk,2026 v0.7.2,2026,https://drmkc.jrc.ec.europa.eu/inform-index/INFORM-Risk/Results-and-data,https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2026/INFORM_Risk_2026_v072.xlsx,data/raw/inform_risk_2026.xlsx,2026-08-04,5e40444b3b0070b6452be19ae504f68d9835fb729053cf57397959f81208b0e8,2547847,available,191,0,191,TRUE,European Commission reuse terms; cite INFORM,Release dated 31 March 2026
inform_severity,INFORM Severity,June 2026,2026-06,https://drmkc.jrc.ec.europa.eu/inform-index/INFORM-Severity/Results-and-data,https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/Severity/2026/202606_INFORM_Severity_-_June_2026__2_.xlsx,data/raw/inform_severity_2026_06.xlsx,2026-08-04,aaa76607e18ae5744eca15d5cab0fbb2cb32e3c9efeb0af6c2636c617b3be633,1994917,available,65,0,65,TRUE,European Commission reuse terms; cite INFORM,Publisher-provided country sheet
underfunded_crisis,Underfunded Crisis Index,2025,2021-2025 cumulative,https://humanitarianfundingforecast.org/index-underfunded-crisis/,https://humanitarianfundingforecast.org/wp-content/uploads/2025/11/underfundingtable25.html,data/raw/underfunded_crisis_2025.html,2026-08-04,81d0683eb8eda8a3b03bbe005944b6b1ecef0aba462384d8966792f90978924c,1316864,available,27,27,27,TRUE,Publisher copyright; cite Humanitarian Funding Forecast,Country contexts only; regional plans excluded
oecd_fragility,OECD Multidimensional Fragility,States of Fragility 2025,predominantly 2023,https://www.oecd.org/en/data/dashboards/multidimensional-fragility.html,https://gitvfd.github.io/states-of-fragility-snail/data-new.tsv,data/raw/oecd_fragility_2025.tsv,2026-08-04,a1e92ecdc326d823271255ae7d07afdd578e5b031fc3042a2daa9a9defd514cd,10864,available,61,0,61,TRUE,OECD terms; cite States of Fragility 2025,Public artifact exposes 61 high/extreme contexts
worldrisk,WorldRiskIndex,2025,2025,https://weltrisikobericht.de/worldriskreport/,https://weltrisikobericht.de/download/4568/?tmstv=1758617984,data/raw/worldriskindex_2025.xlsx,2026-08-04,c1187787ce0bfdc6afe430795cdef7cd1ec6eb92a78ddb2c1eaf1d13602b82f3,21183,available,193,0,193,TRUE,CC BY 4.0,All 193 UN member states
nd_gain,ND-GAIN Country Index,2026 release,2024,https://gain.nd.edu/our-work/country-index/download-data/,https://gain.nd.edu/assets/647440/ndgain_countryindex_2026.zip,data/raw/ndgain_countryindex_2026.zip,2026-08-04,6366ca8fcc716eb36202b037d05af4029f8a03b08e7766f02adb1f21d5147ff2,4941814,available,190,0,190,TRUE,Free/open-access data; cite ND-GAIN,Download requires browser user-agent and referring page
hdi,Human Development Index,Human Development Report 2025,2023,https://hdr.undp.org/data-center/documentation-and-downloads,https://hdr.undp.org/sites/default/files/2025_HDR/HDR25_Composite_indices_complete_time_series.csv,data/raw/hdr25_composite_indices.csv,2026-08-04,61ed82e5b66c88dfca8ff9fac775c63981ecab6a254862af97acacc41c143117,2001263,available,192,0,192,TRUE,UNDP data terms; cite Human Development Report 2025,Uses hdi_2023 from complete time series
mpi,Multidimensional Poverty Index,Global MPI 2025,country-specific survey year,https://hdr.undp.org/content/2025-global-multidimensional-poverty-index-mpi,https://hdr.undp.org/sites/default/files/publications/additional-files/2025-10/2025_gMPI_Table1and2.xlsx,data/raw/global_mpi_2025.xlsx,2026-08-04,0f8080a749ce23f991c5185466fbf0428d452c7673ee0e46a86ebbc93e5a4653,139761,available,109,0,109,TRUE,UNDP/OPHI terms; cite Global MPI 2025,Country estimates use different survey years
ghi,Global Hunger Index,2025,2025,https://www.globalhungerindex.org/ranking.html,https://www.globalhungerindex.org/ranking.html,data/raw/global_hunger_index_2025.html,2026-08-04,fc0d012157244ce9adfc304c65bad0e3e56bcb32406e4854d295ec516f7bb800,75423,available,98,130,98,TRUE,Publisher terms; cite 2025 Global Hunger Index,Only exact numeric scores are ranked; censored/range labels retained
ghs,Global Health Security Index,2021,2021,https://ghsindex.org/global/report/,https://ghsindex.org/wp-content/uploads/2026/07/2021-GHS-Index-April-2022.csv,data/raw/ghs_index_2021.csv,2026-08-04,17197a2e8d19646e5ae9453ddbc3969fb084dbbb654795f00e14e84b45c71661,410035,available,193,0,193,TRUE,GHS Index publisher terms; cite 2021 edition,"Current worldwide edition; 195 published entities, of which 193 are in the selected master"
wps,"Women, Peace and Security Index",2025/26,2025,https://giwps.georgetown.edu/the-index/,https://giwps.georgetown.edu/wp-content/uploads/2025/10/WPS-Index-2025-Data.xlsx,data/raw/wps_index_2025_26.xlsx,2026-08-04,18c81bb6522703f34fcf35f3899e4e115f4cb3459843af260d398cedbf81511b,75816,available,177,0,177,TRUE,GIWPS/PRIO terms; cite WPS Index 2025/26,"181 published entities; Taiwan, Hong Kong, Puerto Rico and Kosovo are outside the selected master"
un_mvi,UN Multidimensional Vulnerability Index,High-Level Panel results,2023,https://www.un.org/ohrlls/mvi/documents,https://sdgs.un.org/sites/default/files/2023-09/MVI_Results.pdf,data/raw/un_mvi_results.pdf,2026-08-04,b06cf3d702f00044d95a02daff0f2aca245bd9b0d32e17c19633a32432cf4bfe,202503,available,142,0,142,TRUE,United Nations terms; cite MVI High-Level Panel,Overall MVI score parsed from official results PDF
debt_distress,Debt-distress classification,31 March 2026,latest DSA as of 2026-03-31,https://www.imf.org/external/pubs/ft/dsa/lic.htm,https://www.imf.org/-/media/files/publications/ft/dsa/dsalist.pdf,data/raw/imf_lic_dsa_2026_03_31.pdf,2026-08-04,3ffd7c5992cdf24117db851e664d60b81476f8de2a77d1d7e0d482658c354bad,64885,available,67,68,0,TRUE,IMF terms; cite LIC DSA list,Ordinal code is derived; no rank or decile
searo,Sexual Exploitation and Abuse Risk Overview,2026 v1.2,December 2025,https://interagencystandingcommittee.org/psea-searo-index,https://reliefweb.int/attachments/597fb34b-29fa-40b3-869a-e7114bd6d965/SEARO%20Global%202026%20v1.2%20%28Dec-25%29.xlsx,data/raw/searo_global_2026_v1_2.xlsx,2026-08-04,6b8ba9de0c07d69509f7e26015592dac146a90cd6dabe2a2c66d7b55fb7f8d42,772036,available,38,0,38,TRUE,IASC resource terms; cite SEARO,Latest workbook linked by IASC at snapshot date
disaster_displacement,Disaster Displacement Risk Model,GDRM 2.0,current climate,https://www.internal-displacement.org/monitoring-tools/displacement-risk/,,data/manual/idmc_gdrm2_country.csv,2026-08-04,7bcd289585bea68ac8d97f05aa78eb2070fa54eb92a12e84cc3d0c8b106a4361,112,manual input template; data unavailable,0,0,0,TRUE,IDMC terms; cite GDRM 2.0,Manual current-climate multi-hazard AAD export
internal_displacement,Internal Displacement Index,IDI 2023 publication,2022,https://www.internal-displacement.org/25-years-of-progress-on-internal-displacement-1998-2023/,https://api.internal-displacement.org/sites/default/files/2023-10/IDMC_IDI_values_2022.xlsx,data/raw/idmc_idi_values_2022.xlsx,2026-08-04,af9e17165da928f690abe1978bfb97ffe153a37afcdb6c571ad81376e4f43e12,48916,available,44,0,44,TRUE,CC BY-NC; cite IDMC IDI 2023,Workbook contains 44 numeric 2022 IDI country values
un_m49,UN M49 Standard Country or Area Codes,snapshot 2026-08-04,,https://unstats.un.org/unsd/methodology/m49/overview/,https://unstats.un.org/unsd/methodology/m49/overview/,data/raw/un_m49_2026_08_04.html,2026-08-04,748f6ff7380c8a50ea9448f068b79e3a1ee31be63207249e8cc89bf1eb969d11,1721568,available,,,,TRUE,United Nations Statistics Division terms,English table used for region and subregion
