country,iso3,region,subregion,inform_risk_score,inform_risk_rank,inform_risk_decile,inform_severity_score,inform_severity_rank,inform_severity_decile,underfunded_crisis_score,underfunded_crisis_rank,underfunded_crisis_decile,oecd_fragility_score,oecd_fragility_rank,oecd_fragility_decile,worldrisk_score,worldrisk_rank,worldrisk_decile,nd_gain_score,nd_gain_rank,nd_gain_decile,hdi_score,hdi_rank,hdi_decile,mpi_score,mpi_rank,mpi_decile,ghi_score,ghi_rank,ghi_decile,ghs_score,ghs_rank,ghs_decile,wps_score,wps_rank,wps_decile,un_mvi_score,un_mvi_rank,un_mvi_decile,debt_distress_score,debt_distress_rank,debt_distress_decile,searo_score,searo_rank,searo_decile,disaster_displacement_score,disaster_displacement_rank,disaster_displacement_decile,internal_displacement_score,internal_displacement_rank,internal_displacement_decile,ghi_score_label,mpi_reference_year,debt_distress_class,debt_distress_ordinal,indices_ranked_count,top_10_count,top_20_count
Afghanistan,AFG,Asia,Southern Asia,7.8,6,1,9.2,4,1,67.24323100000001,20,8,-4.39521576407208,3,1,3.7,102,6,33.0241264018046,11,1,0.496,13,1,0.3603053,9,1,29,15,2,28.8,48,3,0.279,1,1,54.9,58,5,3,,,7.221153011048822,2,1,,,,0.7434269748868907,23,6,29.0,2022/2023 M,High,3,14,8,9
Albania,ALB,Europe,Southern Europe,3.1,118,7,,,,,,,,,,5.91,79,5,52.582838821604,128,7,0.81,123,7,0.002747879,95,9,7,87,9,45,134,7,0.731,111,7,,,,,,,,,,,,,,,,7.0,2017/2018 D,,,8,0,0
Algeria,DZA,Africa,Northern Africa,4.3,75,4,5.6,46,7,,,,,,,9.25,59,4,47.4121674056738,94,5,0.763,98,6,0.005409093,88,8,7.1,86,9,26.2,28,2,0.621,59,4,53.3,68,5,,,,,,,,,,,,,7.1,2018/2019 M,,,10,0,1
Andorra,AND,Europe,Southern Europe,,,,,,,,,,,,,0.29,192,10,63.0179996354563,167,9,0.913,161,9,,,,,,,34.7,92,5,,,,,,,,,,,,,,,,,,,,country-specific survey year,,,4,0,0
Angola,AGO,Africa,Sub-Saharan Africa,6,27,2,,,,,,,-2.53599332584237,24,4,10.83,50,3,36.4469774643548,28,2,0.616,46,3,0.282435048,17,2,29.7,13,2,29.1,51,3,0.601,48,3,47.5,97,7,,,,,,,,,,,,,29.7,2015/2016 D,,,10,0,4
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2.1,165,9,,,,,,,,,,3.8,100,6,47.7960542251904,102,6,0.851,141,8,,,,,,,30,58,3,,,,61.7,23,2,,,,,,,,,,,,,,country-specific survey year,,,6,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,3.7,94,5,,,,,,,,,,15.72,31,2,50.3761630446415,116,7,0.865,147,8,0.001469295,103,10,6.4,88,9,54.4,158,9,0.791,133,8,41.9,130,10,,,,,,,,,,,,,6.4,2019/2020 M,,,9,0,1
Armenia,ARM,Asia,Western Asia,3.4,108,6,,,,,,,,,,1.91,155,8,53.1622770127216,131,7,0.811,124,7,6.90069e-4,107,10,,,,61.8,178,10,0.762,124,7,49.4,87,7,,,,,,,,,,,,,<5,2015/2016 D,,,8,0,0
Australia,AUS,Oceania,Australia and New Zealand,2.4,157,9,,,,,,,,,,21.9,23,2,67.9174446136499,181,10,0.958,186,10,,,,,,,71.1,192,10,0.896,166,10,,,,,,,,,,,,,,,,,country-specific survey year,,,6,0,1
Austria,AUT,Europe,Western Europe,2.4,157,9,,,,,,,,,,1.31,168,9,67.7973086151723,179,10,0.93,172,9,,,,,,,56.9,168,9,0.898,168,10,,,,,,,,,,,,,,,,,country-specific survey year,,,6,0,0
Azerbaijan,AZE,Asia,Western Asia,4.8,63,4,,,,,,,,,,2.4,142,8,50.1378103917525,115,7,0.789,112,6,6.6115e-4,108,10,5.6,95,10,34.7,92,5,0.653,71,4,46.9,100,7,,,,,,,,,,0.7941105769845427,39,9,5.6,2023 M,,,10,0,0
Bahamas,BHS,Americas,Latin America and the Caribbean,2.5,148,8,,,,,,,,,,4.44,90,5,48.7101343269962,108,6,0.82,128,7,,,,,,,30.1,59,4,,,,59.9,33,3,,,,,,,,,,,,,,country-specific survey year,,,6,0,0
Bahrain,BHR,Asia,Western Asia,1.7,182,10,,,,,,,,,,0.87,185,10,48.3281316259196,105,6,0.899,156,9,,,,,,,36.3,101,6,0.765,125,8,60.4,30,3,,,,,,,,,,,,,,country-specific survey year,,,7,0,0
Bangladesh,BGD,Asia,Southern Asia,6.2,25,2,6.8,33,5,67.26457070000001,21,8,-1.87758026295409,41,7,26.71,11,1,37.0371901896596,31,2,0.685,63,4,0.06650907,52,5,19.2,39,4,35.5,99,6,0.526,27,2,52.4,73,6,2,,,5.732426696233371,26,7,,,,0.7094135017310507,15,4,19.2,2022 D,Moderate,2,14,1,4
Barbados,BRB,Americas,Latin America and the Caribbean,2.2,164,9,,,,,,,,,,2.89,127,7,58.6197695611597,155,9,0.811,124,7,,,,,,,34.9,96,5,0.807,138,8,57.9,45,4,,,,,,,,,,,,,,country-specific survey year,,,7,0,0
Belarus,BLR,Europe,Eastern Europe,2.6,138,8,,,,,,,,,,0.72,186,10,53.9591056271048,137,8,0.824,129,7,,,,,,,43.9,131,7,0.739,114,7,,,,,,,,,,,,,,,,<5,country-specific survey year,,,6,0,0
Belgium,BEL,Europe,Western Europe,2.6,138,8,,,,,,,,,,5.8,81,5,61.9666701999904,163,9,0.951,184,10,,,,,,,59.3,172,9,0.912,171,10,,,,,,,,,,,,,,,,,country-specific survey year,,,6,0,0
Belize,BLZ,Americas,Latin America and the Caribbean,3.8,90,5,,,,,,,,,,7.31,68,4,44.1644599866962,77,5,0.721,78,5,0.017108831,72,7,,,,29.7,55,3,0.667,77,5,53,70,5,,,,,,,,,,,,,,2015/2016 M,,,8,0,0
Benin,BEN,Africa,Sub-Saharan Africa,5.6,35,2,4.6,53,9,,,,,,,1.62,162,9,39.424476659533,46,3,0.515,21,2,0.2895098,16,2,25.9,19,2,25.4,23,2,0.587,43,3,49.6,84,6,2,,,,,,,,,0.6677689991848471,6,2,25.9,2021/2022 M,Moderate,2,11,0,6
Bhutan,BTN,Asia,Southern Asia,2.9,124,7,,,,,,,,,,1.11,176,10,44.3071309860562,78,5,0.698,69,4,0.0386035,55,5,,,,39.8,116,6,0.673,83,5,41.8,131,10,2,,,,,,,,,,,,,2022 N,Moderate,2,8,0,0
Bolivarian Republic of Venezuela,VEN,Americas,Latin America and the Caribbean,5.9,28,2,,,,36.9215895,3,1,-2.04464773136135,34,6,22.12,22,2,42.2963082122276,61,4,0.709,73,4,,,,9.6,75,8,20.9,9,1,0.638,64,4,48.4,92,7,,,,5.563842259430867,30,8,,,,,,,9.6,country-specific survey year,,,11,2,4
Bosnia and Herzegovina,BIH,Europe,Southern Europe,3.6,98,6,,,,,,,,,,2.49,140,8,49.9908399578699,114,6,0.804,120,7,,,,,,,35.4,98,6,0.753,121,7,,,,,,,,,,,,,,,,<5,country-specific survey year,,,6,0,0
Botswana,BWA,Africa,Sub-Saharan Africa,3.3,110,6,,,,,,,,,,1.25,172,9,44.9869075517993,80,5,0.731,82,5,0.072638699,49,5,21.8,31,4,33.6,85,5,0.658,73,5,64.2,13,1,,,,,,,,,,,,,21.8,2015/2016 N,,,9,1,1
Brazil,BRA,Americas,Latin America and the Caribbean,5.1,54,3,5.3,49,8,,,,,,,13.8,39,2,50.7341623497791,119,7,0.786,109,6,0.016346041,73,7,6.4,88,9,51.2,151,8,0.632,63,4,41.1,134,10,,,,,,,,,,,,,6.4,2015 N,,,10,0,1
Brunei Darussalam,BRN,Asia,South-eastern Asia,2.3,159,9,,,,,,,,,,1.31,168,9,49.6410101353225,111,6,0.837,133,7,,,,,,,43.5,130,7,,,,52.9,71,5,,,,,,,,,,,,,,country-specific survey year,,,6,0,0
Bulgaria,BGR,Europe,Eastern Europe,2.6,138,8,,,,,,,,,,2.23,148,8,56.2547705636806,145,8,0.845,138,8,,,,,,,59.9,174,9,0.814,141,8,,,,,,,,,,,,,,,,<5,country-specific survey year,,,6,0,0
Burkina Faso,BFA,Africa,Sub-Saharan Africa,7.2,12,1,8.3,17,3,47.0282938,9,3,-2.28659364244036,30,5,2.04,152,8,37.3845357121768,33,2,0.459,8,1,0.342892,10,1,22.9,26,3,29.8,56,3,0.507,21,2,58.1,42,3,2,,,5.78452607377735,24,7,,,,0.7721651798501777,31,7,22.9,2021 D,Moderate,2,14,3,5
Burundi,BDI,Africa,Sub-Saharan Africa,6.4,21,2,4.9,52,8,,,,-3.13496320918022,12,2,3.04,120,7,31.9629284177741,9,1,0.439,7,1,0.408861094,4,1,,,,22.1,14,1,0.407,8,1,61.7,23,2,3,,,5.9211224744397795,19,5,,,,0.7913237435796315,36,8,35–49.9*,2016/2017 D,High,3,12,5,8
Cambodia,KHM,Asia,South-eastern Asia,5.1,54,3,,,,,,,-1.86507713521552,42,7,8.14,64,4,42.4479120334607,64,4,0.606,43,3,0.070367915,50,5,14.9,51,6,31.1,68,4,0.667,77,5,49,89,7,1,,,,,,,,,,,,14.9,2021/2022 D,Low,1,10,0,0
Cameroon,CMR,Africa,Sub-Saharan Africa,6.8,18,1,8.2,19,3,47.476237,10,4,-2.75085698401302,18,3,11.19,48,3,39.897535799787,47,3,0.588,39,2,0.232060113,22,2,17.1,46,5,28.6,45,3,0.451,11,1,44.8,114,8,3,,,5.866293090132865,22,6,,,,0.7490420365613818,25,6,17.1,2018 D,High,3,14,2,4
Canada,CAN,Americas,Northern America,2.8,130,7,,,,,,,,,,19.88,25,2,68.0499815199613,182,10,0.939,178,10,,,,,,,69.8,190,10,0.885,162,10,,,,,,,,,,,,,,,,,country-specific survey year,,,6,0,1
Cape Verde,CPV,Africa,Sub-Saharan Africa,2.6,138,8,,,,,,,,,,1.16,175,10,45.1472624977326,83,5,0.668,59,4,,,,9.4,76,8,34.1,88,5,0.741,118,7,60.5,29,2,2,,,,,,,,,,,,9.4,country-specific survey year,Moderate,2,8,0,1
Central African Republic,CAF,Africa,Sub-Saharan Africa,7.6,9,1,8.1,20,3,77.15840440000001,24,9,-4.05336651683895,6,1,3.41,107,6,27.4280077188519,4,1,0.414,3,1,0.461347524,3,1,33.4,8,1,18.6,7,1,0.362,3,1,52,77,6,3,,,6.386584010498504,13,4,,,,0.6792874560241812,9,2,33.4,2018/2019 M,High,3,14,8,9
Chad,TCD,Africa,Sub-Saharan Africa,7.9,5,1,8.3,17,3,49.6548386,12,5,-3.84558664245733,7,1,2.91,125,7,26.4154174433051,1,1,0.416,4,1,0.517011207,1,1,34.8,6,1,23.9,16,1,0.476,17,1,69.4,4,1,3,,,6.18422651364169,14,4,,,,0.6827503544641654,11,3,34.8,2019 M,High,3,14,9,9
Chile,CHL,Americas,Latin America and the Caribbean,3.3,110,6,5,51,8,,,,,,,14.27,38,2,60.0737434832314,157,9,0.878,149,8,,,,,,,56.2,166,9,0.739,114,7,48.4,92,7,,,,,,,,,,,,,<5,country-specific survey year,,,8,0,1
China,CHN,Asia,Eastern Asia,2.9,124,7,,,,,,,,,,30.62,9,1,53.0425382771277,130,7,0.797,116,6,0.016066725,74,7,,,,47.5,142,8,0.685,89,5,46.1,107,8,,,,,,,,,,,,,<5,2014 N,,,8,1,1
Colombia,COL,Americas,Latin America and the Caribbean,5.3,46,3,8.6,11,2,43.1432086,6,2,,,,39.26,4,1,50.4540648013757,117,7,0.788,111,6,0.019657273,70,7,6.1,92,10,53.2,156,9,0.551,33,2,40.4,136,10,,,,5.944381146667851,17,5,,,,0.7792938020227154,34,8,6.1,2015/2016 D,,,13,1,4
Comoros,COM,Africa,Sub-Saharan Africa,3.3,110,6,,,,,,,-2.2627677637927,31,5,2.69,134,7,38.4546012232657,41,3,0.603,42,3,0.0842989,46,5,17.2,45,5,24.9,19,1,0.59,46,3,60.3,31,3,3,,,,,,,,,,,,17.2,2022 M,High,3,10,1,1
Costa Rica,CRI,Americas,Latin America and the Caribbean,3.7,94,5,,,,,,,,,,11.32,47,3,54.4821526574966,138,8,0.833,131,7,0.002006301,99,9,,,,40.8,120,7,0.824,145,9,46.5,102,8,,,,,,,,,,,,,<5,2018 M,,,8,0,0
Cote d'Ivoire,CIV,Africa,Sub-Saharan Africa,5.3,46,3,4.3,55,9,,,,-1.29269691853799,56,10,1.86,157,9,40.994997058513,53,3,0.582,36,2,0.2102151,29,3,20.4,35,4,31.2,69,4,0.589,45,3,42.6,126,9,2,,,,,,,,,0.7263204340299008,19,5,20.4,2021 D,Moderate,2,12,0,1
Croatia,HRV,Europe,Southern Europe,2.5,148,8,,,,,,,,,,4.89,85,5,57.1480608511183,149,8,0.889,152,8,,,,,,,48.8,146,8,0.788,132,8,,,,,,,,,,,,,,,,<5,country-specific survey year,,,6,0,0
Cuba,CUB,Americas,Latin America and the Caribbean,3.5,102,6,6.9,31,5,,,,,,,6.92,70,4,43.448317920802,68,4,0.762,97,6,0.002688705,96,9,,,,30.5,65,4,,,,46.6,101,8,,,,,,,,,,,,,,2019 M,,,8,0,0
Cyprus,CYP,Asia,Western Asia,2.9,124,7,,,,,,,,,,3.36,110,6,57.474456323676,152,8,0.913,161,9,,,,,,,41.9,124,7,0.77,127,8,,,,,,,,,,,,,,,,,country-specific survey year,,,6,0,0
Czech Republic,CZE,Europe,Eastern Europe,1.9,174,10,,,,,,,,,,1.17,174,9,65.0870356874886,172,10,0.915,163,9,,,,,,,52.8,155,8,0.832,146,9,,,,,,,,,,,,,,,,,country-specific survey year,,,6,0,0
Democratic People's Republic of Korea,PRK,Asia,Eastern Asia,3.7,94,5,,,,,,,-1.98953587592157,37,6,11.7,43,3,43.3325718135095,67,4,,,,,,,,,,16.1,2,1,,,,41,135,10,,,,,,,,,,,,,20–34.9*,country-specific survey year,,,6,1,1
Democratic Republic of Congo,COD,Africa,Sub-Saharan Africa,8,4,1,9.2,4,1,47.0236001,8,3,-4.26574610570421,5,1,9.68,56,3,30.3675514137829,6,1,0.522,23,2,0.331188736,13,2,37.5,2,1,26.1,27,2,0.405,7,1,54.6,60,5,2,,,7.058653623478662,5,2,,,,0.7356400260869002,20,5,37.5,2017/2018 M,Moderate,2,14,6,10
Denmark,DNK,Europe,Northern Europe,1.3,188,10,,,,,,,,,,1.07,178,10,68.278015944235,183,10,0.962,189,10,,,,,,,64.4,182,10,0.939,177,10,,,,,,,,,,,,,,,,,country-specific survey year,,,6,0,0
Djibouti,DJI,Africa,Sub-Saharan Africa,5.5,40,3,6.3,36,6,,,,-2.01985240643819,36,6,10.03,55,3,36.4415690554014,27,2,0.513,19,1,,,,21.9,30,3,25.2,21,2,0.56,36,2,70.8,3,1,4,,,,,,,,,,,,21.9,country-specific survey year,In debt distress,4,10,2,5
Dominica,DMA,Americas,Latin America and the Caribbean,2.6,138,8,,,,,,,,,,2.73,131,7,58.4977740586559,154,9,0.761,96,5,,,,,,,26.4,33,2,,,,55.4,54,4,2,,,,,,,,,,,,,country-specific survey year,Moderate,2,6,0,1
Dominican Republic,DOM,Americas,Latin America and the Caribbean,4.9,60,4,4.2,58,9,,,,,,,13.47,41,3,46.7404770923459,91,5,0.776,103,6,0.008786189,80,8,6.4,88,9,34.5,91,5,0.675,85,5,45.1,113,8,,,,,,,,,,,,,6.4,2019 M,,,10,0,0
Ecuador,ECU,Americas,Latin America and the Caribbean,5.6,35,2,7,28,5,,,,,,,24.14,18,1,43.6118969802999,70,4,0.777,106,6,0.007937439,82,8,10.9,66,7,50.8,150,8,0.612,55,4,45.5,111,8,,,,,,,,,,,,,10.9,2018 N,,,10,1,2
Egypt,EGY,Africa,Northern Africa,5,59,4,5.7,43,7,,,,,,,18.91,26,2,45.4233042363215,85,5,0.754,93,5,0.019681797,69,7,10.5,67,7,28,41,3,0.617,57,4,58.5,40,3,,,,,,,,,,,,,10.5,2014 D,,,10,0,1
El Salvador,SLV,Americas,Latin America and the Caribbean,4.2,79,5,5.7,43,7,33.4775867,1,1,,,,14.41,36,2,43.8050282283112,73,4,0.678,62,4,0.032462509,59,6,7.6,82,9,40.8,120,7,0.691,95,6,52.7,72,6,,,,4.611800219148136,37,10,,,,,,,7.6,2014 M,,,12,1,2
Equatorial Guinea,GNQ,Africa,Sub-Saharan Africa,3.5,102,6,,,,,,,-2.84328420181668,15,3,3.36,110,6,35.5531729466106,20,2,0.674,60,4,,,,,,,17.4,5,1,,,,52.2,75,6,,,,,,,,,,,,,,country-specific survey year,,,7,1,2
Eritrea,ERI,Africa,Sub-Saharan Africa,4.8,63,4,6.5,35,6,,,,-2.96377122573912,13,2,6.03,77,4,27.3600545962195,3,1,0.503,16,1,,,,,,,21.4,11,1,,,,63.2,16,2,,,,,,,,,,,,,,country-specific survey year,No current DSA,,8,3,5
Estonia,EST,Europe,Northern Europe,1.9,174,10,,,,,,,,,,1.84,158,9,62.4077150777355,165,9,0.905,158,9,,,,,,,55.5,164,9,0.896,166,10,,,,,,,,,,,,,,,,<5,country-specific survey year,,,6,0,0
Eswatini,SWZ,Africa,Sub-Saharan Africa,4.3,75,4,,,,,,,-2.03986763088555,35,6,1.76,159,9,40.9496004885107,52,3,0.695,67,4,0.0326488,58,6,15.9,47,5,29.3,53,3,0.556,34,2,57.3,47,4,,,,,,,,,,,,,15.9,2021/2022 M,,,10,0,1
Ethiopia,ETH,Africa,Sub-Saharan Africa,7,16,1,8.6,11,2,,,,-1.53150952011897,49,8,4.87,86,5,37.7232939695768,36,2,0.497,14,1,0.366604242,8,1,24.4,24,3,37.8,107,6,0.516,26,2,55.2,55,4,4,,,6.521348236500277,11,3,,,,0.7394255820356666,21,5,24.4,2019 D,In debt distress,4,13,3,6
Federated States of Micronesia,FSM,Oceania,Micronesia,3.3,110,6,,,,,,,,,,4.17,97,5,37.002707724195,30,2,0.615,45,3,,,,,,,28.5,43,3,0.648,68,4,64,14,1,2,,,,,,,,,,,,,country-specific survey year,Moderate,2,7,1,2
Fiji,FJI,Oceania,Melanesia,3.1,118,7,,,,,,,,,,6.87,72,4,47.4543505010295,96,6,0.731,82,5,0.005757663,87,8,9.9,72,8,25.8,25,2,0.731,111,7,51.7,79,6,,,,,,,,,,,,,9.9,2021 M,,,9,0,1
Finland,FIN,Europe,Northern Europe,1.9,174,10,,,,,,,,,,1.6,163,9,71.0954088884681,189,10,0.948,182,10,,,,,,,70.9,191,10,0.921,173,10,,,,,,,,,,,,,,,,,country-specific survey year,,,6,0,0
