scenario,model_id,n_obs,r_squared,adj_r_squared,aic,metric,value
bbox_on_full,M0,6791,0.03892126242383993,0.038779698314607924,-9893.600504307178,NA,NA
bbox_on_full,M1,6791,0.0359906175537643,0.03584862176904691,-9872.924022560474,NA,NA
bbox_on_full,M2,6791,0.7234697661372671,0.7230210520832046,-18333.39489384952,NA,NA
bbox_on_full,M3,6791,0.7242364428923111,0.7237889728925789,-18352.24900835506,NA,NA
bbox_off_full,M0,6791,0.03892126242383993,0.038779698314607924,-9893.600504307178,NA,NA
bbox_off_full,M1,6791,0.0359906175537643,0.03584862176904691,-9872.924022560474,NA,NA
bbox_off_full,M2,6791,0.7234697661372671,0.7230210520832046,-18333.39489384952,NA,NA
bbox_off_full,M3,6791,0.7242364428923111,0.7237889728925789,-18352.24900835506,NA,NA
bbox_on_trim_top1pct,M0,6735,0.03870994625647338,0.03856717333894122,-9825.208694682442,NA,NA
bbox_on_trim_top1pct,M1,6735,0.037607811764691475,0.037464875155715505,-9817.491332165542,NA,NA
bbox_on_trim_top1pct,M2,6735,0.7243105935905416,0.7238595176615659,-18217.232419161235,NA,NA
bbox_on_trim_top1pct,M3,6735,0.7246779439707365,0.7242274690910218,-18226.21265041168,NA,NA
bbox_on_full,M2,NA,NA,NA,NA,moran_i,0.43242195524424853
bbox_on_full,M2,NA,NA,NA,NA,moran_expected,-1.4727540500736376e-4
bbox_on_full,M2,NA,NA,NA,NA,moran_p_value,0.005
bbox_off_full,M2,NA,NA,NA,NA,moran_i,0.43242195524424853
bbox_off_full,M2,NA,NA,NA,NA,moran_expected,-1.4727540500736376e-4
bbox_off_full,M2,NA,NA,NA,NA,moran_p_value,0.005
bbox_on_trim_top1pct,M2,NA,NA,NA,NA,moran_i,0.43126558504830775
bbox_on_trim_top1pct,M2,NA,NA,NA,NA,moran_expected,-1.485001485001485e-4
bbox_on_trim_top1pct,M2,NA,NA,NA,NA,moran_p_value,0.005
