scenario,model_id,term,vif
bbox_on_full,M2,any_groupTRUE,1.0625043895536272
bbox_on_full,M2,z_Score,1.1941663740324635
bbox_on_full,M2,urban_ruralUrban,1.1710932064982824
bbox_on_full,M2,factor(region_fe)East of England,2.04406859946812
bbox_on_full,M2,factor(region_fe)London,2.3906713825690793
bbox_on_full,M2,factor(region_fe)North East,1.5330109946918193
bbox_on_full,M2,factor(region_fe)North West,2.3095163010841024
bbox_on_full,M2,factor(region_fe)South East,2.4877047130659506
bbox_on_full,M2,factor(region_fe)South West,2.0003236022980975
bbox_on_full,M2,factor(region_fe)West Midlands,2.054279971010371
bbox_on_full,M2,factor(region_fe)Yorkshire and The Humber,2.0039520392608194
bbox_off_full,M2,any_groupTRUE,1.0625043895536272
bbox_off_full,M2,z_Score,1.1941663740324635
bbox_off_full,M2,urban_ruralUrban,1.1710932064982824
bbox_off_full,M2,factor(region_fe)East of England,2.04406859946812
bbox_off_full,M2,factor(region_fe)London,2.3906713825690793
bbox_off_full,M2,factor(region_fe)North East,1.5330109946918193
bbox_off_full,M2,factor(region_fe)North West,2.3095163010841024
bbox_off_full,M2,factor(region_fe)South East,2.4877047130659506
bbox_off_full,M2,factor(region_fe)South West,2.0003236022980975
bbox_off_full,M2,factor(region_fe)West Midlands,2.054279971010371
bbox_off_full,M2,factor(region_fe)Yorkshire and The Humber,2.0039520392608194
bbox_on_trim_top1pct,M2,any_groupTRUE,1.0642597671650142
bbox_on_trim_top1pct,M2,z_Score,1.194789089423029
bbox_on_trim_top1pct,M2,urban_ruralUrban,1.1717298723617409
bbox_on_trim_top1pct,M2,factor(region_fe)East of England,2.0406499390595947
bbox_on_trim_top1pct,M2,factor(region_fe)London,2.383537160614484
bbox_on_trim_top1pct,M2,factor(region_fe)North East,1.5355756154558067
bbox_on_trim_top1pct,M2,factor(region_fe)North West,2.3048617396590285
bbox_on_trim_top1pct,M2,factor(region_fe)South East,2.479477306078162
bbox_on_trim_top1pct,M2,factor(region_fe)South West,1.9953647635374112
bbox_on_trim_top1pct,M2,factor(region_fe)West Midlands,2.053349197400246
bbox_on_trim_top1pct,M2,factor(region_fe)Yorkshire and The Humber,2.0004510386421495
